"course_id","reviews","sentiment"
97324,"Yes, I really enjoyed the topics we explored and it is not a class that will place a disproportionate burden on a student's workload.","r"
97324,"Not unless the structure is changed","dr"
97324,"I would not recommend this course to another student. I think this course was poorly organized and not taught well. The content of this course is very interesting, but was not delivered well. While the workload is extremely low, I feel that there are many other courses that should be taken instead of this one.","dr"
97324,"Yes","r"
97324,"Good","r"
97324,"NO - nothing is explained clearly, students are just expected to understand what the Professor is talking about when he barely uses his presentations or explains things step by step.","dr"
97324,"This would not be my first recommendation to a Yale student. The workload was low but student engagement was also low. Professor Jaynes is a strong storyteller and lecturer but it was easy to get lost during lecture.","dr"
97324,"Yes. A great econ elective, but also interesting content.","r"
97324,"I liked the subject matter but I did not like the teaching method","neu"
97324,"Yes, is a good econ elective with passionate professor.","r"
97324,"yes if you need an econ gut","r"
97324,"I feel as if there are other courses at yale with similar topics that may be better structured for learning","dr"
97324,"Yes! Especially if an econ major.","r"
97324,"Yes, it's a great course to better understand history from an economical standpoint.","r"
97324,"I would for an Economics elective credit. It isn't too much work, and you do learn a lot if you pay attention and look at the lecture notes. Professor Jaynes is charismatic and knowledgable about the subject.","r"
97324,"Yes - it's an interesting class with manageable workload.","r"
97324,"I highly recommend this class. Has a very low workload but covers interesting, relevant topics.","r"
97324,"yes","r"
97324,"Recommend to anyone in econ major","r"
97324,"Yes, I would recommend the course to other students. I think you will get the most out of it the more you put into it. The lectures are very interesting and Professor Jaynes has valuable insights and talks from personal experience as a black man who experienced racism and studied economics in the USA.","r"
97324,"yes definitely","r"
97324,"Gut course, but if you do not like group projects, I don't recommend it.","dr"
97324,"Yes. I think it was actually interesting for an econ class.","r"
97324,"Yes. I think this is a very important one that teaches about important topics in society.","r"
97324,"If you are someone studying economics, I would for sure take this course.","r"
97324,"I would definitely recommend this course to anyone considering. It is one of the best classes ive ever taken, and the homework and projects were very enjoyable to work on. The content we learn in class is very relevant to the education inequality problem we face today, so one learns a lot of useful skills and knowledge.","r"
97324,"DONT LISTEN TO EVERYONE. Everyone says this class is a gut and while that may be true, if you get stuck in a bad group youll be the one having to worry about the homework assignments. This class is only a gut if you dont care about doing your share in the homework assignments.","dr"
97324,"If a student wanted to learn about education disparity on the basis of African Americans and latin x, then yes. However, the course summary was misleading in that I thought I was going to learn about education disparities across more minorities. For example, I would have loved to learn about education disparity for people with disabilities which almost no yale courses cover.","neu"
97324,"I think the content of the course is interesting, but i think it was structured a little weird and there was discrepancies with the work/lectures/lecture notes.","neu"
97324,"Yes. Very interesting","r"
97324,"I would because the lectures are interesting and the papers are open ended.","r"
97324,"I would for sure recommend this to another student. I think it was a great class to make me think about topics that I don't think about often. If you are interested in the statistics behind the inequality in education overall this is also very good in that regard.","r"
97324,"Yes, this course helped developed an economic basis of how education works which students would love to learn.","r"
97324,"I would recommend if there is a strong interest in the material but otherwise I think this class wasnt very engaging.","neu"
97324,"I think I would recommend this class to someone who is more interested in economics classes. I personally have not taken any econ classes so at times I was lost because I did not have the econ background so I wouldn't suggest taking it if you have not taken any econ classes before but if you have I would.","neu"
97338,"Yeah! Honestly just to watch the wire. I wouldnt watch the wire for fun per say but its such an engaging show to watch as a social scientist.","r"
97338,"I definitely would. The show is great and you learn a lot.","r"
97338,"The class is very easy to get a good grade, and the show is excellent. Going to lecture is a waste of time if not for the in class quizzes. Professor Harris never seemed prepared to lecture and there was almost no learning going on in lecture.","neu"
97338,"yes i would definitely recommend.","r"
97338,"Only if you really want to watch the show. Otherwise, it's a waste of time.","neu"
97338,"yes, it is an interesting topic and a new way to learn about prominent social issues","r"
97338,"N/a","neu"
97338,"Yes","r"
97338,"Absolutely! Great opportunity on an incredible show and a chance to learn more about American cities in the process","r"
97338,"I would recommend this course to another student because it provides an introductory though critical survey of the criminal legal system and its implications for communities that continue to experience economic marginalization and high levels of policing.","r"
97338,"Once again, really enjoyed the Wire.   This class is an utter gut. The professor knows that her exact words about the final assignment were ""not to be ambitious with it."" If you want that, then take this. If you are hoping to learn anything at all, probably avoid.","neu"
97338,"I think this was a great class to learn new things and watch this show in an interesting context, I will warn that I wasn't prepared for the energy that watching the entire show over the course of the semester took out of me- I thought watching the episodes every week would be easier than it was but 5-6 hours of the show a week just ended up being more time consuming than I thought","r"
97338,"yes!","r"
97338,"Yes. You just have to be able/willing to watch a lot of tv for homework.","r"
97338,"No, Im not sure I think it works well to use the wire, it creates confusion as to how much emphasis should be put on the show vs the political science concepts","dr"
97338,"I would but with caveats. I think there are two reasons to take the class. First, The Wire is an incredible show, and it's a great opportunity to watch it and analyze it in detail and second, I think the topics related to the realities of the American city are really interesting and important. That being said, watching the entirety of The Wire in one semester is a crazy time commitment, so you have to be ready for it. Watching TV as homework is obviously nice, but be prepared to watch an average of 5 hours a week and do try to take it with at least one friend you can watch the episodes with. Also, I think the atmosphere in the classroom at times felt dry. I'm not even sure if that's Professor Harris's fault, if it was the lecture space, or if it's the result of the collective attitudes of the students in the class, but it's something to keep in mind.","neu"
97338,"Yes, I strongly recommend this course to any political science student who is interested in learning about the politics of a major city, especially through the lens of The Wire.","r"
97338,"Yes! If youre able to find a good TF and commit to actually watching the show its great.","r"
97338,"Probably not. The course is a very interesting concept but engagement was very low.","dr"
97338,"I would not recommend this course for someone who has taken many political science classes or classes on segregation, the war on drugs, policing, or other issues. As someone who already had background and interest in these topics, I found the lectures quite dull-- they are really introductory, and not aimed at someone wanting a deep dive. Also, if you're interested in dissecting the show and understanding the ways in which its depictions are accurate or not so much, I would prepare to be disappointed. The class content is really just an introduction to social science-- it doesn't engage meaningfully with the show. Overall, I would only recommend this class if you are interested in watching a good show and not really getting much out of the rest of the class.","dr"
