course_id,skills
97324,I learned about the factors and influences behind the American education system's quality and inequality. I enjoyed learning these things from an economists point of view and also the historical context behind them.
97324,Overview of topics in education studies related to inequalities and proposed solutions; some introductiory statistics and economics
97324,Learned a little bit about the inequalities that exist in the educational system.
97324,Good
97324,honestly did not learn much but thoroughly enjoyed my time in the class
97324,NONE
97324,I learned about the different statistical correlations between student achievement and urban demographics.
97324,Education and school financing topics plus US history
97324,a lot regarding american history of schools
97324,Learned more about many court cases
97324,I was able to integrate math/econ into my understanding of today's history and politics.
97324,"I primarily learned about specific court cases that have shaped education policy and law, and their effects."
97324,Great Econ elective
97324,Understanding of political and humanitarian analysis that occurs within public education.
97324,"I gained useful knowledge about how the history of America's economy has many aspects rooted in discrimination against minorities, in particular, black people. It is a good course in highlighting lawful discrimination, which translated to economic suppression of minorities."
97324,"Regression model, and the nuances of the multidimensionality in modern day segregation and educational inequalities."
97324,How to write one paragraph memos as apart of homework assignments
97324,"I learned a lot about the educational history of this country, especially with the discrimination of it."
97324,The importance of disparities among urban communities.
97324,"Critical thinking, analytical thinking and gathered lots of knowledge into educational inequalities that exist"
97324,"I learned how to model real life situations using economic models and methods used to infer causation. It was really interesting to see how it is used in the real world, and it helped me comprehend the material more. I also learned a lot about educational inequality and different ways to look at and tackle the situation (conduct historical or legal analysis). One of the most important skillsets i learned was to condense information into a single page."
97324,Insight on the living conditions of people on the mississippi border to Illinois
97324,I learned a lot about education inequality and development.
97324,Learned how to work with partners in group projects
97324,I learned about the long term impacts of segregation on student achievement.
97324,I gained insight on the poor treatment as well as the gap between different groups of people when it comes to Education at all different types of levels.
97324,This class taught me about the educational history of African Americans and how it affected the current education systems we have today.
97324,I learned a lot about taking multiple perspectives on these topics covered in class. I think I would have learned more if the class was more structured.
97324,Learned about studies in schools and how to assess performance
97324,I learned about the public education system and how it has become what it is. There is also a lot of group work so I think I really developed my teamwork skills and how to work with people you may not know or do not enjoy working with.
97338,I learned how to analyze a tv show as a political scientist
97338,I now understand cultural references about the show.
97338,Almost nothing.
97338,The politics of the wire. The show
97338,"i learned a lot about the social and political atmosphere of various issues like the war on drugs, organized crime, police brutality, and more"
97338,"Critical analysis and questioning of crime, the law, and how the environment in different areas is a breeding ground for types of lifestyles"
97338,N/a
97338,great class to learn about politics!
97338,"About the applications of ""The Wire"" on social science concepts in American cities"
97338,I learned how to use social science skills to analyze certain concepts in a tv show and apply it to the real world.
97338,"I learned how to view, analyze, and interpret TV media through political science frameworks. I also gained critical insights and political science theories to describe local politics, policing, and community efficacy,"
97338,Golly. I watched The Wire. That is about it.
97338,I learned about how to apply social science concepts to the media we consume
97338,Use The Wire to contextualize political science theories and data
97338,I learned how to watch tv shows in a political science lens.
97338,"I developed an appreciation for some of the realities of American cities, including issues of crime and policing, residential segregation, unions, local politics, and local journalism. I also developed an understanding of some of the skills necessary for a career in the social sciences and practice with using them."
97338,"Through this course, I learned more about the political and civic structures in a major city like Baltimore, as well as the competing interests among different groups. Through the lens of The Wire, I learned how to evaluate different mediums (e.g., a television show) and situations through a social science perspective."
97338,"I learned a lot about the day-to-day impact of the criminal Justice system, the drug trade, and local politics in a segregated American city."
97338,Integrated a TV show into discussion of complex political science concepts.
97338,Knowledge about US cities and systemic discrimination
97338,I learned a lot about American politics and the way that the modern city works.
