course_id,streng_weak_improv
97324,"Strengths - thorough lecture slides and resources Weaknesses - this class was not organized well. The grading was incredibly harsh for what would otherwise have been an introductory course to these topics, and the quizzes were worded strangely making it very difficult to gauge what the instructor and TFs wanted from us."
97324,"I think that the grade that a student earns solely depends on which teaching fellow grades the assignments. I often compared my scoring to my classmate's and then the content we wrote about and while the content would be similar, our grades did not match at all. The grading was quite harsh and instruction was unclear, which often resulted in room for interpretation which I would be penalized for in my work. This class was very unorganized and I felt like I never truly understood what we were learning."
97324,Good
97324,"Lectures were disorganized, lecture notes were not helpful"
97324,This course could be improved with more structure in lectures and outside homework assignments. There was little guidance around HW assignments. Many HW assignments are also group projects which can pose challenges of equality in work put in and grades.
97324,The instructor was great
97324,the weakness of this class was the teaching style of the professor. I liked his stories but he did not teach math well.
97324,"The lectures are often very engaging, and the topics are very relatable."
97324,interesting material if you engage with it
97324,"I wish the slides and lectures were more organized, I get the reasoning behind group projects but becomes very difficult when others won't do the work"
97324,"Could be more engaging in lectures, but had well structured assignments"
97324,"This course allowed me to learn a lot of new material and methods without being stressed. Not sure how he did it, but this had to be one of my favorite courses!"
97324,"The strengths of the course were that the assignments were clear. Professor Jaynes made the lecture notes available for students. I enjoyed working with my team on several of the projects, as it facilitated a collaborative working atmosphere. The weaknesses of the course were that the lectures were sometimes a bit confusing. I can't pinpoint exactly why."
97324,Content and projects were really interesting but I feel like grading is very subjective and probably would not reflect your true learning in class because almost your entire grade is based on group projects. So it really depends on how smart and hardworking your group members are.
97324,"Strengths: engaging lectures, Professor availability before and after class as well as in office hours Weaknesses: Lack of clarity regarding regression equations"
97324,Strengths are professor's passion weaknesses are low amount of classes + high # of group assignments
97324,group project are the weakness
97324,"Strengths are the fact that there is no final, which allows for organic learning without the stress of having an exam. I like the way the lecture notes are constructed too, it helped me learn the content once I got home and was able to look through what we went through in lecture."
97324,Strengths: Thorough explanation of various perspectives of current issues Weaknesses: Explanations sometimes a bit hard to understand
97324,This course was very unorganized.
97324,It was very engaging. The homework assignments were thought provoking.
97324,"Syllabus was clear and concise, lectures are always delivered effectively and professor was always very engaging the course."
97324,Strengths was that the teacher made the lectures very interesting. He is an excellent orator. I also really liked how the course material related to real life problems and teaches us ways to quantify it and address it. The summary notes of the lectures were extremely helpful as well.
97324,more engagement with other groups.   The course also focused on only one part of minority in education systems when it was meant to cover more.
97324,I think this course could be improved by no group work as that was often the biggest burden and took time away from the actual content of the course. I think group essays themselves are extremely difficult. I ended up doing all the work for my group.
97324,Great lectures
97324,"I think the lectures were engaging but I did not like the format of the group projects, because it was difficult to coordinate with other members of the group."
